# Formato: categoria|dificuldade|enunciado|alternativa1;alternativa2;alternativa3;alternativa4|correta(1-4)
# enunciado = "Codigo:\n<codigo>\n---\n<pergunta>"  ( \n = quebra de linha )
# BANCO DE PERGUNTAS - ESTRUTURAS BASICAS DE CODIGO EM KOTLIN (50 perguntas)
KOTLIN|HARD_PLUS|Código:\nval numeros = listOf(5, 3, 8, 1)\nval ordenado = numeros.sorted()\nprintln(ordenado)\n---\nO que será impresso?|[1, 3, 5, 8];[5, 3, 8, 1];[8, 5, 3, 1];Um erro de compilação|1
KOTLIN|HARD_PLUS|Código:\nclass Retangulo(val largura: Int, val altura: Int) {\n    val area: Int\n        get() = largura * altura\n}\nval r = Retangulo(4, 5)\nprintln(r.area)\n---\nO que será impresso?|20;9;Um erro de compilação, pois "area" não foi declarada com val direto;0|1
KOTLIN|VERY_HARD|Código:\nval numeros = listOf(1, 2, 3)\nval texto = numeros.joinToString(separator = ", ") { "Num: $it" }\nprintln(texto)\n---\nO que será impresso?|"Num: 1, Num: 2, Num: 3";"1, 2, 3";Um erro de compilação;"[1, 2, 3]"|1
KOTLIN|VERY_HARD|Código:\nfun processar(valor: Any) {\n    when (valor) {\n        is Int -> println("É um inteiro")\n        is String -> println("É um texto")\n        else -> println("Tipo desconhecido")\n    }\n}\nprocessar(10)\n---\nO que será impresso?|"É um inteiro";"É um texto";"Tipo desconhecido";Um erro de compilação|1
KOTLIN|VERY_HARD|Código:\nclass Externa {\n    val valor = 10\n    inner class Interna {\n        fun mostrar() = println(valor)\n    }\n}\nval ext = Externa()\nval int = ext.Interna()\nint.mostrar()\n---\nO que a palavra-chave inner permite nesse contexto?|Que a classe interna acesse membros da classe externa diretamente;Que a classe interna nunca acesse a classe externa;Que a classe seja estática, sem relação com a instância externa;Que a classe seja automaticamente um singleton|1
KOTLIN|VERY_HARD|Código:\nval numeros = mutableListOf(1, 2, 3)\nnumeros.add(4)\nnumeros.removeAt(0)\nprintln(numeros)\n---\nO que será impresso?|[2, 3, 4];[1, 2, 3, 4];[1, 2, 3];Um erro de compilação|1
KOTLIN|VERY_HARD|Código:\nclass Ponto(val x: Int, val y: Int) {\n    operator fun plus(outro: Ponto): Ponto {\n        return Ponto(x + outro.x, y + outro.y)\n    }\n}\nval p3 = Ponto(1, 2) + Ponto(3, 4)\nprintln("${p3.x}, ${p3.y}")\n---\nO que será impresso?|"4, 6";"1, 2";"3, 4";Um erro de compilação|1
KOTLIN|EXPERT|Código:\nval lista = listOf(1, 2, 3)\nval resultado = lista.fold(10) { acc, valor -> acc + valor }\nprintln(resultado)\n---\nO que será impresso?|16 (soma dos elementos mais o valor inicial 10);6 (apenas a soma dos elementos);10 (apenas o valor inicial);Um erro de compilação|1
KOTLIN|EXPERT|Código:\nclass Usuario(val nome: String) {\n    init {\n        println("Usuário criado: $nome")\n    }\n}\nval u = Usuario("Carlos")\n---\nQuando o bloco init é executado?|Durante a criação (instanciação) do objeto;Apenas quando um método específico é chamado manualmente;Nunca é executado automaticamente;Apenas ao final da execução do programa|1
KOTLIN|EXPERT|Código:\ninterface Repositorio<T> {\n    fun salvar(item: T)\n}\nclass RepositorioTexto : Repositorio<String> {\n    override fun salvar(item: String) {\n        println("Salvando: $item")\n    }\n}\n---\nO que esse código demonstra?|Uma interface genérica implementada com um tipo concreto específico;Um erro de compilação, pois interfaces não podem ser genéricas;Herança múltipla de classes concretas;Uma função de extensão sobre String|1
KOTLIN|EXPERT|Código:\nval texto by lazy {\n    println("Calculando...")\n    "Valor calculado"\n}\nprintln("Antes")\nprintln(texto)\n---\nO que a delegação by lazy garante nesse contexto?|Que o valor só será calculado na primeira vez que for efetivamente acessado;Que o valor será calculado imediatamente na declaração;Que o valor será recalculado a cada acesso;Que a variável nunca poderá ser lida|1
KOTLIN|MASTER|Código:\nsealed class Forma\ndata class Circulo(val raio: Double) : Forma()\ndata class Quadrado(val lado: Double) : Forma()\n\nfun area(forma: Forma): Double = when (forma) {\n    is Circulo -> Math.PI * forma.raio * forma.raio\n    is Quadrado -> forma.lado * forma.lado\n}\n---\nPor que o compilador Kotlin permite omitir o else nesse when?|Porque "Forma" é sealed, então o compilador sabe que todos os subtipos foram cobertos;Porque "when" nunca exige tratamento de todos os casos;Porque "Circulo" e "Quadrado" são a mesma classe;Porque o retorno da função é opcional|1
KOTLIN|MASTER|Código:\nsuspend fun buscarDados(): String {\n    delay(1000)\n    return "Dados"\n}\n---\nO que a palavra-chave suspend indica sobre essa função?|Que ela pode ser pausada e retomada, sendo executada dentro de uma coroutine;Que ela sempre bloqueia a thread principal;Que ela nunca pode retornar um valor;Que ela é executada automaticamente na inicialização do programa|1
KOTLIN|MASTER|Código:\nclass Empilhavel<out T>(val item: T)\n---\nO uso do modificador out antes de T indica que o tipo genérico é:|Covariante, permitindo maior flexibilidade em relações de subtipagem na saída;Contravariante, apenas para entrada de dados;Totalmente inválido em Kotlin;Obrigatoriamente mutável|1
KOTLIN|MASTER|Código:\nval numeros = listOf(1, 2, 3, 4, 5)\nval resultado = numeros.asSequence()\n    .filter { it % 2 == 0 }\n    .map { it * it }\n    .toList()\nprintln(resultado)\n---\nO que o uso de asSequence() proporciona de diferente em relação a operações diretas em uma List?|Avaliação preguiçosa (lazy), processando os elementos sob demanda em uma única passada por operação encadeada;Execução obrigatoriamente mais lenta em qualquer cenário;Impossibilidade de usar filter e map juntos;Conversão automática para um array|1
KOTLIN|MASTER|Código:\nclass Ponto private constructor(val x: Int, val y: Int) {\n    companion object {\n        fun criar(x: Int, y: Int) = Ponto(x, y)\n    }\n}\nval p = Ponto.criar(1, 2)\n---\nPor que o construtor foi marcado como private nesse exemplo?|Para forçar a criação de instâncias apenas através da função de fábrica no companion object;Para impedir totalmente que a classe seja instanciada;Porque construtores em Kotlin são sempre privados por padrão;Para transformar automaticamente a classe em uma interface|1
KOTLIN|MASTER|Código:\ntailrec fun fatorial(n: Int, acumulador: Long = 1): Long {\n    return if (n <= 1) acumulador else fatorial(n - 1, n * acumulador)\n}\n---\nO que a palavra-chave tailrec permite ao compilador fazer nesse caso?|Otimizar a recursão de cauda, transformando-a internamente em um loop e evitando estouro de pilha;Executar a função em paralelo automaticamente;Ignorar completamente o parâmetro "acumulador";Tornar a função assíncrona automaticamente|1
