# Formato: categoria|dificuldade|enunciado|alternativa1;alternativa2;alternativa3;alternativa4|correta(1-4)
# BANCO DE PERGUNTAS - PROGRAMACAO, APIS, BANCO DE DADOS E ARQUITETURA (40 perguntas)
# Bloco A - Programacao e fundamentos
REST|MEDIUM|O método HTTP PATCH é tradicionalmente usado para:|Aplicar uma atualização parcial a um recurso existente;Substituir totalmente o recurso, sempre;Criar um novo recurso do zero obrigatoriamente;Apenas listar recursos existentes|1
SECURITY|EASY|Autenticação responde principalmente à pergunta:|"Quem é você?";"O que você pode fazer?";"Onde você está?";"Quando você acessou o sistema?"|1
SECURITY|EASY_PLUS|Autorização responde principalmente à pergunta:|"O que você tem permissão para fazer?";"Quem é você?";"Qual é a sua senha?";"Qual navegador você está usando?"|1
REST|MEDIUM_PLUS|Uma operação idempotente é aquela que, ao ser executada múltiplas vezes com os mesmos parâmetros:|Produz o mesmo resultado final, sem efeitos colaterais adicionais;Sempre gera um novo recurso a cada execução;Nunca pode ser repetida;Sempre lança erro na segunda tentativa|1
REST|HARD|Entre os métodos HTTP tradicionais, um exemplo comumente considerado idempotente é:|DELETE (remover o mesmo recurso repetidamente resulta no mesmo estado final);POST, sempre, em qualquer implementação;Nenhum método HTTP é idempotente;Apenas métodos customizados fora do padrão HTTP|1
SYSTEM_DESIGN|HARD_PLUS|Para suportar milhões de requisições, uma estratégia fundamental é:|Escalabilidade horizontal combinada a balanceamento de carga;Rodar tudo em um único servidor sem qualquer réplica;Eliminar completamente qualquer forma de cache;Processar todas as requisições de forma estritamente sequencial em um único processo|1
SYSTEM_DESIGN|VERY_HARD|Outra prática comum para lidar com alto volume de requisições em uma API é:|Usar cache para reduzir a carga em operações de leitura repetitivas;Sempre consultar o banco de dados diretamente, sem qualquer otimização;Ignorar rate limiting completamente;Nunca usar filas assíncronas para processamento pesado|1
REST|MEDIUM|Uma boa prática no tratamento de erros de uma API é:|Retornar códigos de status HTTP apropriados junto a mensagens de erro claras;Sempre retornar status 200, mesmo em caso de erro;Nunca informar nenhum detalhe sobre o erro ocorrido;Encerrar o servidor a cada erro ocorrido|1
REST|HARD|Erros inesperados (não previstos) em uma API devem, idealmente:|Ser registrados (logados) e retornar uma resposta genérica e segura ao cliente;Expor detalhes internos sensíveis do sistema diretamente ao cliente;Ser sempre ignorados silenciosamente;Nunca ser monitorados de qualquer forma|1
# Bloco C - Banco de dados
DATABASE|EASY_PLUS|Bancos de dados SQL (relacionais) são tradicionalmente mais indicados quando há necessidade de:|Forte consistência transacional e relações bem definidas entre dados;Esquema totalmente flexível e sem qualquer estrutura;Ausência completa de qualquer consulta estruturada;Armazenamento exclusivo de arquivos binários grandes|1
DATABASE|MEDIUM_PLUS|Bancos de dados NoSQL são frequentemente escolhidos quando há necessidade de:|Maior flexibilidade de esquema e escalabilidade horizontal facilitada;Transações complexas multi-tabela como único requisito principal;Eliminação total da necessidade de qualquer consulta;Um esquema rígido definido antecipadamente sempre|1
DATABASE|MEDIUM|Um índice em um banco de dados tem como objetivo principal:|Acelerar a busca de registros em determinadas colunas;Aumentar sempre o tempo de escrita sem qualquer benefício;Substituir completamente a necessidade de tabelas;Apagar dados automaticamente|1
DATABASE|HARD_PLUS|Um efeito colateral negativo de se ter índices em excesso em uma tabela é:|Maior custo em operações de escrita (inserção, atualização e remoção);Consultas de leitura sempre mais lentas;Impossibilidade total de fazer consultas;Perda garantida de dados|1
DATABASE|MEDIUM|A sigla ACID, relacionada a transações de banco de dados, representa:|Atomicidade, Consistência, Isolamento e Durabilidade;Autenticação, Criptografia, Integridade e Disponibilidade;Agregação, Cache, Índice e Distribuição;Acesso, Controle, Instância e Dados|1
DATABASE|HARD|A propriedade de "Atomicidade" em uma transação garante que:|Todas as operações da transação sejam concluídas com sucesso, ou nenhuma delas seja aplicada;A transação sempre seja executada parcialmente;Múltiplas transações possam corromper os dados simultaneamente;Os dados sejam perdidos após uma falha do sistema|1
DATABASE|EASY_PLUS|A operação JOIN em SQL é usada principalmente para:|Combinar dados de duas ou mais tabelas relacionadas;Apagar registros de uma tabela;Criar uma nova tabela vazia;Criptografar os dados armazenados|1
DATABASE|HARD_PLUS|Um cenário em que se deve considerar evitar ou otimizar o uso de JOINs é quando:|Eles envolvem tabelas muito grandes sem índices adequados, gerando lentidão;As tabelas envolvidas são pequenas e bem indexadas;É necessário combinar dados relacionados de forma correta;Nunca há motivo para evitar JOINs em qualquer cenário|1
DATABASE|HARD|Uma das primeiras ações recomendadas para investigar uma query lenta é:|Analisar o plano de execução (execution plan) da consulta;Reiniciar o servidor de banco de dados imediatamente sem qualquer análise;Apagar a tabela envolvida;Ignorar o problema até que ele se agrave|1
DATABASE|VERY_HARD|Ao investigar uma query lenta, um ponto comum a se verificar é se:|A consulta está utilizando os índices adequados nas colunas filtradas;O nome das variáveis do código está em português;A cor da interface do banco de dados está correta;O número de desenvolvedores da equipe é suficiente|1
# Bloco D - Arquitetura e system design
MICROSERVICES|MEDIUM_PLUS|Um monólito costuma ser uma escolha razoável, especialmente em:|Estágios iniciais de um produto, onde simplicidade e velocidade de desenvolvimento importam mais;Sistemas gigantescos com centenas de times totalmente independentes;Cenários que exigem escalabilidade extremamente granular desde o primeiro dia;Nenhum cenário, pois monólitos sempre devem ser evitados|1
MICROSERVICES|HARD_PLUS|Migrar para microsserviços tende a fazer mais sentido quando:|Diferentes partes do sistema precisam escalar e evoluir de forma independente;A equipe é pequena e o domínio de negócio é simples;Não há necessidade de comunicação entre componentes;O objetivo é reduzir a complexidade operacional a todo custo|1
SYSTEM_DESIGN|MEDIUM|Utilizar cache é especialmente útil quando:|Os mesmos dados são lidos com frequência e não mudam a todo momento;Os dados mudam a cada milissegundo e nunca se repetem;Não há qualquer leitura repetida no sistema;O objetivo é sempre aumentar a latência das requisições|1
SYSTEM_DESIGN|HARD_PLUS|Um problema comum causado pelo uso de cache é:|Dados desatualizados (stale data) sendo servidos ao usuário;Redução garantida e permanente de qualquer latência;Eliminação total da necessidade do banco de dados;Impossibilidade de qualquer inconsistência|1
EVENT_DRIVEN|MEDIUM|Na comunicação síncrona, o solicitante:|Aguarda a resposta antes de continuar sua execução;Nunca espera por qualquer resposta;Sempre usa filas de mensagens obrigatoriamente;Não tem qualquer relação temporal com a resposta|1
EVENT_DRIVEN|MEDIUM_PLUS|A comunicação assíncrona é especialmente vantajosa quando:|Não é necessário bloquear o processamento aguardando uma resposta imediata;É obrigatório receber a resposta antes de qualquer outra ação;Não existe nenhuma tolerância a atraso na resposta;O sistema possui apenas um único componente|1
EVENT_DRIVEN|HARD_PLUS|Uma estratégia comum para evitar que uma mensagem seja processada duas vezes é:|Usar um identificador único de mensagem e verificar se ele já foi processado (deduplicação/idempotência);Processar toda mensagem recebida sem qualquer verificação;Eliminar completamente o uso de filas de mensagens;Nunca registrar o status de processamento das mensagens|1
EVENT_DRIVEN|VERY_HARD|Tornar o processamento de uma mensagem idempotente ajuda a lidar com cenários em que:|A mesma mensagem é reentregue devido a falhas de rede ou reprocessamento;O sistema nunca falha em nenhuma circunstância;Não existe qualquer comunicação entre serviços;As mensagens nunca são reenviadas em nenhum caso|1
OBSERVABILITY|HARD|Ao investigar um aumento repentino de latência em produção, um primeiro passo comum é:|Analisar métricas e logs para identificar em qual componente o atraso está ocorrendo;Reiniciar todos os servidores imediatamente, sem qualquer investigação;Ignorar o problema até que os usuários parem de reclamar;Apagar os logs do sistema para liberar espaço|1
OBSERVABILITY|VERY_HARD|Causas comuns de alta latência em produção incluem:|Gargalos no banco de dados, esgotamento de recursos ou dependências externas lentas;Apenas erros de digitação em nomes de variáveis;Apenas a cor escolhida para a interface do usuário;Apenas o número de commits realizados no dia|1
