# Formato: categoria|dificuldade|enunciado|alternativa1;alternativa2;alternativa3;alternativa4|correta(1-4)
# Bloco A - Figuras importantes da Inteligencia Artificial
AI|EXPERT|Modelos de difusão (diffusion models), usados em geração de imagens, funcionam removendo gradualmente:|Ruído adicionado a partir de uma imagem original durante o treinamento;Pixels aleatórios sem qualquer processo de treinamento;Todo o conteúdo da imagem de uma vez, sem etapas;Apenas metadados da imagem|1
AI|EXPERT|O conceito de "temperatura" em geração de texto por LLMs controla:|O grau de aleatoriedade/criatividade nas respostas geradas;A velocidade de processamento do hardware;O tamanho do modelo em disco;O número de usuários simultâneos|1
AI|MASTER|"Mixture of Experts" (MoE) é uma arquitetura que ativa, para cada entrada, apenas:|Um subconjunto de "especialistas" (sub-redes) relevantes, ao invés de todo o modelo;A totalidade do modelo, sempre, sem seletividade;Um único parâmetro fixo, sem variação;Apenas a primeira camada da rede neural|1
AI|MASTER|O conceito de "escalonamento" (scaling laws) em LLMs descreve empiricamente a relação entre desempenho do modelo e:|Quantidade de dados, parâmetros e poder computacional usados no treinamento;Apenas a cor da interface do usuário;Apenas o número de desenvolvedores da equipe;Apenas o preço de mercado do hardware|1
# Bloco C - Tokens e processamento de linguagem natural
AI|VERY_EASY|Em modelos de linguagem, um "token" representa:|Uma unidade de texto (palavra, parte de palavra ou caractere) processada pelo modelo;Um arquivo de configuração do sistema;Um tipo de banco de dados;Um protocolo de rede|1
AI|EASY|O processo de dividir um texto em tokens é chamado de:|Tokenização;Compilação;Serialização;Criptografia|1
AI|EASY|Um "vocabulário" em modelos de linguagem é composto por:|O conjunto de tokens que o modelo reconhece;Apenas palavras em inglês;Apenas números;Apenas símbolos de pontuação|1
AI|EASY_PLUS|Uma vantagem da tokenização por sub-palavras (subword) é:|Lidar melhor com palavras raras ou desconhecidas, dividindo-as em partes conhecidas;Eliminar totalmente a necessidade de vocabulário;Processar apenas frases completas, nunca palavras isoladas;Aumentar indefinidamente o tamanho do texto original|1
AI|MEDIUM|Um algoritmo comum de tokenização por sub-palavras, usado em muitos LLMs modernos, é o:|BPE (Byte Pair Encoding);Bubble Sort;Dijkstra;K-means|1
AI|MEDIUM|Um "embedding" transforma um token em:|Um vetor numérico que representa seu significado em um espaço matemático;Um arquivo de imagem;Um comando de banco de dados;Um protocolo de comunicação|1
AI|MEDIUM_PLUS|"Stop words" em processamento de linguagem natural são:|Palavras muito comuns (como artigos e preposições) frequentemente removidas em certas análises;Palavras proibidas por lei;Erros de digitação;Símbolos matemáticos|1
AI|HARD|A "lematização" (lemmatization) em PLN tem como objetivo:|Reduzir uma palavra à sua forma canônica/dicionário;Traduzir o texto para outro idioma;Contar o número de caracteres do texto;Criptografar o conteúdo do texto|1
AI|HARD|O "stemming" (radicalização), semelhante à lematização, busca:|Reduzir palavras ao seu radical, de forma mais simples/heurística;Traduzir automaticamente frases inteiras;Gerar imagens a partir de texto;Eliminar tokens do vocabulário|1
AI|HARD_PLUS|Um "n-grama" (n-gram) em PLN representa:|Uma sequência contígua de "n" itens (ex: palavras ou tokens) de um texto;Um tipo específico de rede neural;Um formato de arquivo de imagem;Um protocolo de rede|1
AI|VERY_HARD|Um "corpus", em PLN, se refere a:|Uma coleção estruturada de textos usada para treinar ou analisar modelos de linguagem;Um tipo de rede neural específica;Um formato de compressão de arquivos;Um protocolo de comunicação de rede|1
AI|EXPERT|O número de tokens processados por um LLM impacta diretamente:|O custo computacional e o limite da janela de contexto utilizada;Apenas a cor da interface do chat;Apenas o nome do modelo;Apenas a linguagem de programação usada para treiná-lo|1
AI|MASTER|Diferentes idiomas podem gerar diferentes quantidades de tokens para representar o mesmo conteúdo semântico, o que geralmente ocorre porque:|O vocabulário do tokenizador foi otimizado com base na frequência de padrões observados nos dados de treinamento, tipicamente dominados por um idioma;Todos os idiomas sempre geram exatamente o mesmo número de tokens;Tokens não têm qualquer relação com o idioma do texto;O tamanho do texto em caracteres é sempre igual ao número de tokens|1
AI|EASY_PLUS|Um mesmo texto pode ser tokenizado de formas diferentes dependendo:|Do tokenizador/modelo específico utilizado;Apenas da cor da fonte usada para exibir o texto;Apenas do sistema operacional do usuário;Nunca varia, é sempre idêntico entre modelos|1
AI|MEDIUM|Palavras compostas ou muito longas tendem a ser divididas em:|Múltiplos tokens menores;Sempre um único token, sem exceção;Nenhum token, sendo ignoradas;Apenas símbolos de pontuação|1
# Bloco D - Algoritmos e conceitos de Machine Learning
AI|VERY_EASY|Aprendizado supervisionado usa dados que são:|Rotulados, com exemplos de entrada e saída esperada;Sempre sem qualquer rótulo;Gerados aleatoriamente sem qualquer relação;Apenas imagens, nunca texto|1
AI|VERY_EASY|Aprendizado não supervisionado trabalha principalmente com dados:|Sem rótulos, buscando padrões ou agrupamentos;Totalmente rotulados manualmente;Apenas numéricos inteiros;Apenas provenientes de sensores físicos|1
AI|EASY|Aprendizado por reforço (Reinforcement Learning) baseia-se principalmente em:|Um agente aprendendo através de recompensas e punições ao interagir com um ambiente;Apenas dados históricos rotulados previamente;Apenas regras fixas programadas manualmente;Ausência total de qualquer interação|1
AI|EASY|"Overfitting" ocorre quando um modelo:|Se ajusta excessivamente aos dados de treinamento, perdendo capacidade de generalização;Generaliza perfeitamente para qualquer novo dado;Nunca aprende nada a partir dos dados;Sempre tem desempenho perfeito em produção|1
AI|EASY_PLUS|"Underfitting" ocorre quando um modelo:|É simples demais para capturar os padrões relevantes dos dados;Se ajusta perfeitamente até em dados de teste;Memoriza todos os dados de treinamento sem erro;Nunca comete qualquer erro|1
AI|EASY_PLUS|Uma "rede neural" é inspirada, em sua estrutura conceitual, no funcionamento de:|Neurônios biológicos;Circuitos de rede de computadores;Sistemas de arquivos;Protocolos de e-mail|1
AI|MEDIUM|O "gradiente descendente" (gradient descent) é um algoritmo usado para:|Ajustar os parâmetros de um modelo minimizando uma função de perda (loss);Ordenar listas de números;Comprimir arquivos de dados;Criptografar informações sensíveis|1
AI|MEDIUM|A "função de perda" (loss function) em Machine Learning mede:|O quão distante a previsão do modelo está do valor esperado;O tempo de execução do algoritmo;O tamanho do modelo em disco;O número de usuários do sistema|1
AI|MEDIUM_PLUS|"Retropropagação" (backpropagation) é o algoritmo usado para:|Calcular e propagar o erro de volta pela rede neural, ajustando os pesos;Compactar imagens;Realizar buscas em grafos;Ordenar dados em bancos de dados|1
AI|MEDIUM_PLUS|Uma "época" (epoch), no treinamento de um modelo, representa:|Uma passagem completa por todo o conjunto de dados de treinamento;Um único exemplo de treinamento;O tempo total de vida útil do modelo;Um tipo de arquitetura de rede neural|1
AI|HARD|Um "batch" (lote), no contexto de treinamento de modelos, refere-se a:|Um subconjunto de exemplos processados juntos antes de atualizar os parâmetros;O modelo completo já treinado;Um único token de entrada;O total de todas as épocas de treinamento|1
AI|HARD|"Regularização" em Machine Learning é uma técnica usada principalmente para:|Reduzir o overfitting, penalizando complexidade excessiva do modelo;Aumentar deliberadamente o overfitting;Eliminar a necessidade de dados de treinamento;Substituir totalmente a função de perda|1
AI|HARD_PLUS|Uma "árvore de decisão" (decision tree) é um modelo que toma decisões através de:|Uma sequência de perguntas/condições organizadas em estrutura de árvore;Apenas cálculos de distância euclidiana;Apenas operações matriciais complexas obrigatórias;Redes neurais profundas exclusivamente|1
AI|HARD_PLUS|O algoritmo "K-means" é usado principalmente para tarefas de:|Agrupamento (clustering) de dados não rotulados;Classificação supervisionada apenas;Geração de texto;Compressão de vídeo|1
AI|VERY_HARD|Redes Neurais Convolucionais (CNNs) são particularmente eficazes em tarefas envolvendo:|Processamento de imagens;Processamento exclusivo de texto sequencial longo;Ordenação de números;Gerenciamento de bancos de dados relacionais|1
AI|VERY_HARD|Redes Neurais Recorrentes (RNNs) foram tradicionalmente usadas para lidar com dados:|Sequenciais, como séries temporais ou texto;Exclusivamente imagens estáticas;Exclusivamente tabelas relacionais;Exclusivamente arquivos binários compactados|1
AI|EXPERT|Uma "função de ativação" em uma rede neural tem como papel principal:|Introduzir não linearidade, permitindo que a rede aprenda padrões complexos;Apenas normalizar o tamanho da entrada;Apenas armazenar os pesos do modelo;Substituir totalmente a função de perda|1
AI|EXPERT|O problema do "gradiente desaparecendo" (vanishing gradient) afeta principalmente:|Redes neurais muito profundas ou recorrentes durante o treinamento;Apenas modelos extremamente simples e rasos;Apenas algoritmos de ordenação;Apenas bancos de dados relacionais|1
AI|MASTER|O "dilema entre viés e variância" (bias-variance tradeoff) descreve o equilíbrio entre:|Um modelo simples demais (alto viés) e um modelo complexo demais (alta variância);A velocidade de leitura e escrita em disco;O custo de licenciamento de software;O tamanho da equipe de desenvolvimento|1
AI|MASTER|O algoritmo de "Gradient Boosting" constrói um modelo forte combinando sequencialmente:|Múltiplos modelos fracos, cada um corrigindo erros do anterior;Um único modelo extremamente complexo desde o início;Apenas regras fixas sem aprendizado;Apenas dados aleatórios sem qualquer padrão|1
# Bloco E - Conceitos gerais e etica em IA
AI|VERY_EASY|A sigla AGI significa:|Artificial General Intelligence;Automated Global Interface;Advanced Graphic Interface;Applied General Intelligence|1
AI|EASY|"Viés" (bias) em modelos de IA pode surgir principalmente de:|Dados de treinamento que refletem desigualdades ou padrões enviesados;Apenas falhas de hardware;Apenas erros de digitação no código;Ausência total de dados|1
AI|EASY_PLUS|"Prompt engineering" se refere à prática de:|Elaborar cuidadosamente as instruções/entradas dadas a um modelo de IA para obter melhores respostas;Programar diretamente os pesos internos do modelo manualmente;Instalar fisicamente servidores de IA;Compactar o modelo para reduzir seu tamanho|1
AI|MEDIUM|"Explicabilidade" (explainability) em IA busca principalmente:|Tornar compreensível como e por que um modelo chegou a uma determinada decisão;Aumentar a velocidade de processamento do modelo;Reduzir o tamanho do modelo em disco;Eliminar totalmente a necessidade de testes|1
AI|MEDIUM_PLUS|O termo "alinhamento" (AI alignment) se refere a:|Garantir que o comportamento de um sistema de IA esteja de acordo com valores e intenções humanas;Alinhar apenas o layout visual da interface do usuário;Sincronizar relógios entre servidores;Organizar arquivos de configuração do sistema|1
AI|HARD|Um "AI Winter" (inverno da IA) refere-se historicamente a períodos em que:|O interesse, financiamento e progresso em pesquisa de IA diminuíram significativamente;A IA superou completamente a inteligência humana;Todos os modelos de IA pararam de funcionar tecnicamente;Nenhuma pesquisa em IA jamais existiu|1
AI|HARD_PLUS|A distinção entre "IA fraca" (Narrow AI) e "IA forte" (Strong AI/AGI) está relacionada principalmente a:|Se o sistema é especializado em tarefas específicas ou possui inteligência geral comparável à humana;Apenas ao tamanho físico do servidor usado;Apenas à linguagem de programação utilizada;Apenas ao preço de mercado do sistema|1
AI|VERY_HARD|Um dos riscos éticos frequentemente discutidos sobre LLMs é a possibilidade de:|Amplificar desinformação ao gerar conteúdo convincente, porém incorreto;Eliminar completamente qualquer tipo de erro humano;Substituir integralmente a necessidade de qualquer supervisão humana em qualquer contexto;Garantir 100% de precisão factual sempre|1
AI|EXPERT|A prática de "red teaming" aplicada a modelos de IA consiste em:|Testar deliberadamente o sistema em busca de vulnerabilidades ou comportamentos indesejados;Apenas colorir a interface do usuário;Apenas medir a velocidade de resposta do modelo;Substituir totalmente testes automatizados tradicionais de software|1
AI|MASTER|O conceito de "interpretabilidade mecanicista" (mechanistic interpretability), em pesquisa de IA, busca:|Entender em detalhe os componentes internos e circuitos computacionais que geram o comportamento de um modelo;Apenas medir a satisfação do usuário final;Apenas otimizar o custo de infraestrutura em nuvem;Substituir completamente a necessidade de qualquer treinamento|1
# Complemento
AI|MEDIUM|Um "dataset de validação" é usado durante o desenvolvimento de um modelo para:|Ajustar hiperparâmetros e avaliar o desempenho antes do teste final;Treinar o modelo do zero, substituindo o conjunto de treino;Armazenar apenas dados de produção;Substituir completamente o conjunto de teste|1
AI|MEDIUM_PLUS|Um "hiperparâmetro", diferente dos parâmetros aprendidos pelo modelo, é:|Uma configuração definida antes do treinamento, como a taxa de aprendizado;Um valor aprendido automaticamente durante o treinamento;O resultado final do modelo já treinado;Um tipo de dado de entrada do usuário apenas|1
AI|HARD|A "taxa de aprendizado" (learning rate) controla:|O tamanho dos passos dados durante a otimização dos parâmetros do modelo;O número de usuários simultâneos do sistema;O tamanho do vocabulário do modelo;A quantidade de memória RAM disponível|1
AI|HARD_PLUS|"Transfer learning" (aprendizado por transferência) consiste em:|Reaproveitar conhecimento de um modelo já treinado em uma tarefa para acelerar o aprendizado em outra tarefa relacionada;Descartar totalmente qualquer conhecimento prévio do modelo;Treinar sempre do zero, sem qualquer reaproveitamento;Transferir apenas arquivos entre servidores, sem relação com aprendizado|1
AI|VERY_HARD|Um "autoencoder" é um tipo de rede neural treinada para:|Aprender uma representação compacta dos dados de entrada e depois reconstruí-los;Apenas classificar imagens em categorias fixas;Apenas gerar texto sequencial;Apenas ordenar dados numéricos|1
# Claude Code
CLAUDE_CODE|VERY_EASY|Claude Code é uma ferramenta criada por:|Anthropic;Google;Microsoft;OpenAI|1
CLAUDE_CODE|VERY_EASY|Claude Code é descrito principalmente como uma ferramenta de:|Codificação agêntica (agentic coding);Edição de imagens;Design gráfico;Planilhas eletrônicas|1
CLAUDE_CODE|VERY_EASY|Claude Code opera principalmente através de:|Um terminal, usando linguagem natural;Apenas uma interface gráfica sem texto;Apenas comandos de voz;Apenas um navegador web|1
CLAUDE_CODE|EASY|Entre as capacidades do Claude Code está:|Editar arquivos e corrigir bugs no código;Apenas gerar imagens artísticas;Apenas tocar música;Apenas enviar e-mails|1
CLAUDE_CODE|EASY|Claude Code é capaz de ajudar diretamente com fluxos de trabalho relacionados a:|Git (histórico, commits, PRs);Edição de vídeo;Design de logotipos;Contabilidade financeira|1
CLAUDE_CODE|EASY|O pacote npm oficial usado para instalar o Claude Code é:|@anthropic-ai/claude-code;claude-cli-tool;anthropic-code-agent;claude-terminal|1
CLAUDE_CODE|EASY_PLUS|O arquivo comumente usado em um projeto para fornecer contexto/instruções persistentes ao Claude Code é o:|CLAUDE.md;README.txt obrigatoriamente;config.yaml exclusivamente;settings.ini|1
CLAUDE_CODE|EASY_PLUS|O comando de barra (slash command) usado para gerar automaticamente um CLAUDE.md a partir do projeto é:|/init;/start;/setup;/new|1
CLAUDE_CODE|EASY_PLUS|O Claude Code pode, entre outras tarefas, executar e corrigir:|Testes e linting do projeto;Apenas apresentações de slides;Apenas planilhas financeiras;Apenas arquivos de áudio|1
CLAUDE_CODE|MEDIUM|O Claude Code é integrável a plataformas de nuvem empresariais como:|Amazon Bedrock e Google Vertex AI;Apenas um servidor local sem qualquer integração;Apenas bancos de dados relacionais;Apenas redes sociais|1
CLAUDE_CODE|MEDIUM|O comando de barra usado para exibir o uso de tokens e custos em uma sessão é:|/cost;/price;/billing;/tokens|1
CLAUDE_CODE|MEDIUM|O comando de barra usado para limpar/resetar o contexto da conversa é:|/clear;/reset-all;/forget;/wipe|1
CLAUDE_CODE|MEDIUM_PLUS|O comando de barra usado para compactar o histórico da conversa, mantendo-a mais enxuta, é:|/compact;/shrink;/trim;/reduce|1
CLAUDE_CODE|MEDIUM_PLUS|Uma forma de referenciar arquivos ou diretórios específicos diretamente em um prompt do Claude Code é usando o símbolo:|@ (arroba) antes do caminho do arquivo;# (hashtag);% (porcentagem);& (e comercial)|1
CLAUDE_CODE|MEDIUM_PLUS|Para executar um comando de shell diretamente dentro de uma sessão do Claude Code, utiliza-se o prefixo:|! (ponto de exclamação);$ (cifrão);~ (til);^ (circunflexo)|1
CLAUDE_CODE|HARD|"Subagents" no Claude Code permitem:|Criar agentes especializados para tarefas específicas dentro do fluxo de trabalho;Apenas trocar o tema visual do terminal;Apenas alterar o idioma da interface;Substituir totalmente o uso de slash commands|1
CLAUDE_CODE|HARD|"Hooks" no Claude Code permitem:|Executar ações automatizadas em determinados eventos do ciclo de vida do agente;Apenas formatar automaticamente o texto exibido;Apenas trocar o tema de cores;Substituir totalmente o CLAUDE.md|1
CLAUDE_CODE|HARD|A integração do Claude Code com servidores MCP permite que o agente:|Acesse diretamente sistemas e dados externos, como bancos de dados ou ferramentas de terceiros;Apenas gere texto sem qualquer ação externa;Substitua totalmente a necessidade de um terminal;Elimine a necessidade de autenticação|1
CLAUDE_CODE|HARD_PLUS|O comando de barra usado para gerenciar servidores MCP conectados é:|/mcp;/servers;/connect;/plugins-only|1
CLAUDE_CODE|HARD_PLUS|O comando de barra usado para criar, editar ou listar subagentes é:|/agents;/subagents-list;/roles;/workers|1
CLAUDE_CODE|HARD_PLUS|Um princípio de segurança e privacidade destacado no design do Claude Code é que as consultas vão:|Diretamente para a API da Anthropic, sem servidores intermediários;Sempre para um servidor de terceiros antes de chegar à Anthropic;Para um servidor público sem qualquer autenticação;Nunca para a API da Anthropic, apenas localmente|1
CLAUDE_CODE|VERY_HARD|Comandos personalizados criados pelo usuário no Claude Code (custom slash commands) podem ser definidos como arquivos:|Markdown, dentro de diretórios como .claude/commands/;Apenas binários compilados;Apenas arquivos de imagem;Apenas planilhas|1
CLAUDE_CODE|VERY_HARD|O comando de barra usado para diagnosticar problemas de configuração do Claude Code é:|/doctor;/diagnose;/check;/health|1
CLAUDE_CODE|VERY_HARD|O Claude Code pode ser usado, além do terminal puro, através de integrações com editores como:|VS Code e JetBrains;Apenas editores de texto sem qualquer integração;Apenas navegadores web;Apenas planilhas eletrônicas|1
CLAUDE_CODE|EXPERT|Além de hooks e subagentes, o Claude Code também suporta uma funcionalidade de reutilização de instruções especializadas para tarefas específicas, chamada de:|Skills;Templates fixos apenas;Apenas variáveis de ambiente;Apenas macros de teclado|1
CLAUDE_CODE|EXPERT|O Claude Code permite agrupar conjuntos de comandos, hooks, skills e configurações relacionadas para distribuição/reuso através de:|Plugins;Apenas arquivos de configuração isolados sem qualquer agrupamento;Apenas variáveis globais do sistema operacional;Apenas scripts de shell soltos|1
CLAUDE_CODE|EXPERT|Um pré-requisito comum para instalar o Claude Code via npm é ter instalado previamente:|Node.js;Apenas um banco de dados relacional;Apenas uma máquina virtual Java;Apenas o Python|1
CLAUDE_CODE|MASTER|O Claude Code também é disponibilizado, além do CLI de terminal, através de um SDK que permite:|Construir agentes e integrações personalizadas programaticamente;Apenas rodar em ambientes sem qualquer código;Substituir totalmente a necessidade de qualquer autenticação;Eliminar completamente a necessidade da API da Anthropic|1
CLAUDE_CODE|MASTER|Arquivos CLAUDE.md podem ser organizados de forma hierárquica em projetos maiores (monorepos), de modo que:|Regras no nível raiz se aplicam a todo o projeto, e regras em subdiretórios se aplicam apenas àquele contexto;Apenas um único arquivo CLAUDE.md pode existir em todo o sistema de arquivos;Regras de subdiretórios sempre sobrescrevem totalmente as regras globais sem qualquer combinação;CLAUDE.md nunca pode ser usado em múltiplos diretórios|1
